Cell Number,X,Y,Z,Cell Flux,Standard Deviation
92,4.00000E+02,-4.00000E+02,0.00000E+00,1.49860E-08,8.00000E-04
93,5.00000E+02,-4.00000E+02,0.00000E+00,3.03153E-08,5.00000E-04
94,6.00000E+02,-4.00000E+02,0.00000E+00,1.68066E-08,7.00000E-04
95,7.00000E+02,-4.00000E+02,0.00000E+00,2.18957E-10,6.70000E-03
96,3.00000E+02,-3.00000E+02,0.00000E+00,4.19602E-12,4.39000E-02
97,4.00000E+02,-3.00000E+02,0.00000E+00,1.97812E-10,7.00000E-03
98,5.00000E+02,-3.00000E+02,0.00000E+00,3.86626E-10,5.00000E-03
99,6.00000E+02,-3.00000E+02,0.00000E+00,2.25830E-10,6.60000E-03
100,7.00000E+02,-3.00000E+02,0.00000E+00,3.84203E-12,4.72000E-02
101,-7.00000E+02,-2.00000E+02,0.00000E+00,3.73734E-12,4.80000E-02
102,-6.00000E+02,-2.00000E+02,0.00000E+00,2.28170E-10,6.50000E-03
103,-5.00000E+02,-2.00000E+02,0.00000E+00,3.89127E-10,5.00000E-03
104,-4.00000E+02,-2.00000E+02,0.00000E+00,2.13344E-10,6.70000E-03
105,-3.00000E+02,-2.00000E+02,0.00000E+00,6.14228E-11,1.24000E-02
106,-7.00000E+02,-1.00000E+02,0.00000E+00,2.18966E-10,6.70000E-03
107,-6.00000E+02,-1.00000E+02,0.00000E+00,1.70237E-08,7.00000E-04
108,-5.00000E+02,-1.00000E+02,0.00000E+00,3.04229E-08,5.00000E-04
109,-4.00000E+02,-1.00000E+02,0.00000E+00,1.64030E-08,7.00000E-04
110,-3.00000E+02,-1.00000E+02,0.00000E+00,3.78567E-10,5.10000E-03
111,-7.00000E+02,0.00000E+00,0.00000E+00,4.09621E-10,4.90000E-03
112,-6.00000E+02,0.00000E+00,0.00000E+00,3.14138E-08,5.00000E-04
113,-5.00000E+02,0.00000E+00,0.00000E+00,5.76569E-08,4.00000E-04
114,-4.00000E+02,0.00000E+00,0.00000E+00,3.05336E-08,5.00000E-04
115,-3.00000E+02,0.00000E+00,0.00000E+00,6.13620E-10,4.00000E-03
116,-7.00000E+02,1.00000E+02,0.00000E+00,2.15251E-10,6.70000E-03
117,-6.00000E+02,1.00000E+02,0.00000E+00,1.64424E-08,7.00000E-04
118,-5.00000E+02,1.00000E+02,0.00000E+00,3.12391E-08,5.00000E-04
119,-4.00000E+02,1.00000E+02,0.00000E+00,1.69791E-08,7.00000E-04
120,-3.00000E+02,1.00000E+02,0.00000E+00,3.66416E-10,5.10000E-03
